Ticker,Role Name,Role Rank,Role Rank Name,Total Pay,Base Pay,Stock,Bonus
AAPL,software-engineer,1,"ICT2
Junior Software Engineer
(Entry Level)",173000.0,143400.0,26400.0,3100.0
AAPL,software-engineer,2,"ICT3
Software Engineer",229900.0,162100.0,55900.0,11900.0
AAPL,software-engineer,3,"ICT4
Senior Software Engineer",353500.0,208100.0,126000.0,19400.0
AAPL,software-engineer,4,ICT5,503100.0,250500.0,216200.0,36500.0
AAPL,software-engineer,5,ICT6,746300.0,298600.0,388400.0,59200.0
AAPL,software-engineer,6,Distinguished Engineer,,,,
AAPL,software-engineer,7,Senior Distinguished Engineer,,,,
AAPL,software-engineer,8,Engineering Fellow,,,,
AAPL,hardware-engineer,1,"ICT2
Junior Hardware Engineer",175300.0,143700.0,23000.0,8600.0
AAPL,hardware-engineer,2,"ICT3
Hardware Engineer",236400.0,166200.0,56800.0,13400.0
AAPL,hardware-engineer,3,"ICT4
Senior Hardware Engineer",322400.0,200400.0,101000.0,21100.0
AAPL,hardware-engineer,4,ICT5,504100.0,242300.0,215700.0,46100.0
AAPL,hardware-engineer,5,ICT6,730500.0,302700.0,354100.0,73700.0
AAPL,hardware-engineer,6,Distinguished Engineer,,,,
AAPL,project-manager,1,"ICT2
Junior Project Manager",140500.0,110000.0,18300.0,12200.0
AAPL,project-manager,2,"ICT3
Project Manager",198400.0,146800.0,43400.0,8200.0
AAPL,project-manager,3,"ICT4
Senior Project Manager",229600.0,162900.0,52900.0,13800.0
AAPL,project-manager,4,ICT5,351400.0,206200.0,117000.0,28100.0
AAPL,project-manager,5,ICT6,222500.0,187500.0,18800.0,16300.0
AAPL,product-manager,1,"ICT2
Junior Product Manager",188800.0,139300.0,40500.0,8900.0
AAPL,product-manager,2,"ICT3
Product Manager",210200.0,149900.0,47400.0,12900.0
AAPL,product-manager,3,"ICT4
Senior Product Manager",295900.0,195200.0,79900.0,20900.0
AAPL,product-manager,4,ICT5,449200.0,238700.0,169700.0,40800.0
AAPL,product-manager,5,ICT6,722000.0,270700.0,380400.0,70900.0
AAPL,product-manager,6,ICT7,,,,
AAPL,technical-program-manager,1,"ICT2
Junior TPM",226000.0,153700.0,51800.0,20500.0
AAPL,technical-program-manager,2,"ICT3
TPM",222600.0,159400.0,47400.0,15800.0
AAPL,technical-program-manager,3,"ICT4
Senior TPM",299900.0,192200.0,88200.0,19500.0
AAPL,technical-program-manager,4,ICT5,417300.0,232500.0,143600.0,41300.0
AAPL,technical-program-manager,5,ICT6,600000.0,287800.0,258000.0,54200.0
AAPL,data-scientist,1,"ICT2
Junior Data Scientist",122000.0,113300.0,8200.0,417.0
AAPL,data-scientist,2,"ICT3
Data Scientist",224500.0,167700.0,42500.0,14200.0
AAPL,data-scientist,3,"ICT4
Senior Data Scientist",319000.0,200900.0,97600.0,20500.0
AAPL,data-scientist,4,ICT5,495000.0,269500.0,200200.0,25300.0
AAPL,data-scientist,5,ICT6,,,,
AAPL,data-scientist,6,ICT7,,,,
AAPL,marketing,1,ICT2,296000.0,164300.0,100000.0,31700.0
AAPL,marketing,2,ICT3,199500.0,136700.0,54100.0,8700.0
AAPL,marketing,3,ICT4,233000.0,172100.0,50100.0,10800.0
AAPL,marketing,4,ICT5,290700.0,211200.0,56400.0,23100.0
AAPL,marketing,5,ICT6,,,,
AAPL,mechanical-engineer,1,"ICT2
Junior Mechanical Engineer",176100.0,138500.0,27600.0,10000.0
AAPL,mechanical-engineer,2,"ICT3
Mechanical Engineer",212700.0,159100.0,42500.0,11100.0
AAPL,mechanical-engineer,3,"ICT4
Senior Mechanical Engineer",334000.0,190700.0,121000.0,22400.0
AAPL,mechanical-engineer,4,ICT5,443900.0,232200.0,175500.0,36200.0
AAPL,mechanical-engineer,5,ICT6,577000.0,272000.0,235000.0,70000.0
AAPL,mechanical-engineer,6,Distinguished Engineer,,,,
AAPL,software-engineering-manager,1,"M1
Manager 1",396300.0,223600.0,143600.0,29100.0
AAPL,software-engineering-manager,2,"M2
Manager 2",530000.0,261000.0,220600.0,48400.0
AAPL,software-engineering-manager,3,"M3
Senior Manager",787100.0,310600.0,403800.0,72800.0
AAPL,software-engineering-manager,4,"D1
Director",1420000.0,353600.0,901000.0,163000.0
AAPL,software-engineering-manager,5,"D2
Senior Director",,,,
AAPL,software-engineering-manager,6,VP,,,,
AAPL,software-engineering-manager,7,SVP,,,,
AAPL,product-designer,1,"ICT2
Junior Product Designer",157200.0,142700.0,10600.0,3900.0
AAPL,product-designer,2,"ICT3
Product Designer",231400.0,162000.0,59100.0,10300.0
AAPL,product-designer,3,"ICT4
Senior Product Designer",302300.0,193600.0,87300.0,21500.0
AAPL,product-designer,4,ICT5,468200.0,236200.0,178100.0,53900.0
AAPL,product-designer,5,ICT6,909000.0,291500.0,532500.0,85000.0
PCAR,software-engineer,,25,102000.0,102000.0,0.0,0.0
PCAR,hardware-engineer,,25,110000.0,110000.0,0.0,0.0
PCAR,controls-engineer,,,101500.0,,,
PCAR,project-manager,,L3,145000.0,141000.0,0.0,4000.0
PCAR,data-analyst,,,71650.0,,,
PCAR,data-scientist,,-,115000.0,115000.0,0.0,0.0
PCAR,accountant,,31,110000.0,110000.0,0.0,0.0
PCAR,business-analyst,,-,115000.0,115000.0,0.0,0.0
PCAR,mechanical-engineer,,23,97300.0,85000.0,4300.0,8000.0
PCAR,administrative-assistant,,,58250.0,,,
SBUX,software-engineer,1,"24
Software Engineer 1
(Entry Level)",119500.0,113200.0,3300.0,2900.0
SBUX,software-engineer,2,"25
Software Engineer 2",161700.0,139900.0,13500.0,8300.0
SBUX,software-engineer,3,"26
Senior Software Engineer",175400.0,154200.0,12200.0,8900.0
SBUX,software-engineer,4,"27
Lead Software Engineer",200500.0,172100.0,14600.0,13800.0
