Ticker,Name,Address,Country,State,Company Type,Sector,Industry,Founding Year,Employee Count,Employee Rating,CEO Approval Percentage,Latitude,Longitude
NVDA,NVIDIA Corporation,2788 San Tomas Expressway,United States,CA,Public,Technology,Semiconductors,1993.0,36000,4.5,97.0,37.3705437,-121.9670806
MSFT,Microsoft Corporation,One Microsoft Way,United States,WA,Public,Technology,Software - Infrastructure,1975.0,228000,4.1,81.0,47.6410702,-122.1268817
AAPL,Apple Inc.,One Apple Park Way,United States,CA,Public,Technology,Consumer Electronics,1976.0,150000,4.1,86.0,40.705002,-111.8660605
AMZN,"Amazon.com, Inc.",410 Terry Avenue North,United States,WA,Public,Consumer Cyclical,Internet Retail,1994.0,1546000,3.6,58.0,47.622298,-122.3365001
META,"Meta Platforms, Inc.",1 Meta Way,United States,CA,Public,Communication Services,Internet Content & Information,2004.0,75945,3.8,57.0,37.4810299,-122.1542335
AVGO,Broadcom Inc.,3421 Hillview Ave,United States,CA,Public,Technology,Semiconductors,1991.0,37000,3.3,55.0,37.3990267,-122.1444156
GOOG,Alphabet Inc.,1600 Amphitheatre Parkway,United States,CA,Public,Communication Services,Internet Content & Information,1998.0,187103,4.4,78.0,37.4224857,-122.0855846
TSLA,"Tesla, Inc.",1 Tesla Road,United States,TX,Public,Consumer Cyclical,Auto Manufacturers,2003.0,125665,3.5,55.0,30.2226102,-97.6187555
NFLX,"Netflix, Inc.",121 Albright Way,United States,CA,Public,Communication Services,Entertainment,1997.0,14000,4.2,93.0,37.2569243,-121.9639389
PLTR,Palantir Technologies Inc.,1200 17th Street,United States,CO,Public,Technology,Software - Infrastructure,2004.0,4164,3.6,60.0,39.74974048743256,-104.99589957630042
COST,Costco Wholesale Corporation,999 Lake Drive,United States,WA,Public,Consumer Defensive,Discount Stores,1976.0,341000,3.9,77.0,47.5486034,-122.0506179
ASML,ASML Holding N.V.,De Run 6501,Netherlands,,Public,Technology,Semiconductor Equipment & Materials,1984.0,43193,4.1,92.0,51.4044463,5.4170159
AMD,"Advanced Micro Devices, Inc.",2485 Augustine Drive,United States,CA,Public,Technology,Semiconductors,1969.0,28000,3.9,94.0,37.3829605,-121.9703774
CSCO,"Cisco Systems, Inc.",170 West Tasman Drive,United States,CA,Public,Technology,Communication Equipment,1984.0,86200,4.1,80.0,37.4083584,-121.9540909
AZN,AstraZeneca PLC,1 Francis Crick Avenue,United Kingdom,,Public,Healthcare,Drug Manufacturers - General,1913.0,94300,4.0,87.0,52.175268,0.1341117
TMUS,"T-Mobile US, Inc.",12920 SE 38th Street,United States,WA,Public,Communication Services,Telecom Services,2001.0,70000,3.7,60.0,35.4262765,-97.2859577
LIN,Linde plc,"Forge, 43 Church Street West",Canada,,Public,Basic Materials,Specialty Chemicals,1879.0,64842,3.6,82.0,43.70450312913217,-79.52237126192774
APP,AppLovin Corporation,1100 Page Mill Road,United States,CA,Public,Communication Services,Advertising Agencies,2012.0,1533,3.7,60.0,34.7582526,-92.1971427
SHOP,Shopify Inc.,151 O'Connor Street,Canada,ON,Public,Technology,Software - Application,2006.0,8100,3.3,47.0,45.4199878,-75.6970497
MU,"Micron Technology, Inc.",8000 South Federal Way,United States,ID,Public,Technology,Semiconductors,1978.0,53000,3.9,82.0,43.5301411,-116.150825
PEP,"PepsiCo, Inc.",700 Anderson Hill Road,Canada,NY,Public,Consumer Defensive,Beverages - Non-Alcoholic,1965.0,319000,3.8,80.0,41.0348634,-73.6928308
PDD,PDD Holdings Inc.,25 St Stephen’s Green,China,,Public,Consumer Cyclical,Internet Retail,,23465,3.3,,53.3390659,-6.2566546
INTU,Intuit Inc.,2700 Coast Avenue,United States,CA,Public,Technology,Software - Application,1983.0,18200,4.3,84.0,37.4304208,-122.0968582
QCOM,QUALCOMM Incorporated,5775 Morehouse Drive,United States,CA,Public,Technology,Semiconductors,1985.0,49000,3.9,72.0,32.8959414,-117.1958195
LRCX,Lam Research Corporation,4650 Cushing Parkway,United States,CA,Public,Technology,Semiconductor Equipment & Materials,1980.0,19000,4.1,92.0,37.4886142,-121.9569958
INTC,Intel Corporation,2200 Mission College Boulevard,United States,CA,Public,Technology,Semiconductors,1968.0,108900,3.8,48.0,37.3882663,-121.963779
BKNG,Booking Holdings Inc.,800 Connecticut Avenue,United States,CT,Public,Consumer Cyclical,Travel Services,1997.0,24800,3.9,85.0,41.0932565,-73.4541467
ARM,Arm Holdings plc,110 Fulbourn Road,United States,,Private,Technology,Semiconductors,,8330,4.6,,52.1820434,0.1743872
AMAT,"Applied Materials, Inc.",3050 Bowers Avenue,United States,CA,Public,Technology,Semiconductor Equipment & Materials,1967.0,36100,4.0,84.0,37.376829,-121.97789
TXN,Texas Instruments Incorporated,12500 TI Boulevard,United States,TX,Public,Technology,Semiconductors,1930.0,34000,3.9,69.0,32.9248527,-96.7493788
AMGN,Amgen Inc.,One Amgen Center Drive,United States,CA,Public,Healthcare,Drug Manufacturers - General,1980.0,28000,3.9,84.0,34.1910399,-118.9206609
ISRG,"Intuitive Surgical, Inc.",1020 Kifer Road,United States,CA,Public,Healthcare,Medical Instruments & Supplies,1995.0,15638,4.2,95.0,37.3735673,-122.003953
ADBE,Adobe Inc.,345 Park Avenue,United States,CA,Public,Technology,Software - Application,1982.0,30709,4.1,90.0,40.7577559,-73.9722731
GILD,"Gilead Sciences, Inc.",333 Lakeside Drive,United States,CA,Public,Healthcare,Drug Manufacturers - General,1987.0,17600,3.6,74.0,-35.4322475,143.6487721
PANW,"Palo Alto Networks, Inc.",3000 Tannery Way,United States,CA,Public,Technology,Software - Infrastructure,2005.0,16068,3.9,89.0,37.38404,-121.983974
KLAC,KLA Corporation,One Technology Drive,United States,CA,Public,Technology,Semiconductor Equipment & Materials,1976.0,15000,4.0,92.0,33.6483698,-117.7350371
HON,Honeywell International Inc.,855 South Mint Street,United States,NC,Public,Industrials,Conglomerates,1885.0,102000,4.1,89.0,35.2241736,-80.8524978
CRWD,"CrowdStrike Holdings, Inc.",206 East 9th Street,United States,TX,Public,Technology,Software - Infrastructure,2011.0,10047,4.0,88.0,40.729788,-73.9889071
