Ticker,Benefit Category,Benefit Description,desc_lower,cat_lower,Screen,IconName
AAPL,Unique To Apple,Music Events,music events,unique to apple,unique,
AAPL,Unique To Apple,Fertility Assistance,fertility assistance,unique to apple,unique,
AAPL,"Insurance, Health, & Wellness","Free Dinner $2,600","free dinner $2,600","insurance, health, & wellness",food,dinner
AAPL,"Insurance, Health, & Wellness",Free Snacks $730,free snacks $730,"insurance, health, & wellness",food,snack
AAPL,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
AAPL,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym3
AAPL,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
AAPL,"Insurance, Health, & Wellness",On-Site Fitness Classes,on-site fitness classes,"insurance, health, & wellness",office,gym3
AAPL,"Insurance, Health, & Wellness",Gym Discount,gym discount,"insurance, health, & wellness",office,gym3
AAPL,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
AAPL,"Insurance, Health, & Wellness",Health Savings Account (HSA) $750,health savings account (hsa) $750,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",On-Site Mother's Room,on-site mother's room,"insurance, health, & wellness",office,child3
AAPL,"Insurance, Health, & Wellness",Gender Neutral Bathrooms,gender neutral bathrooms,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Pet Insurance,pet insurance,"insurance, health, & wellness",insurance,PET INSURANCE
AAPL,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
AAPL,"Insurance, Health, & Wellness",Free Drinks $365,free drinks $365,"insurance, health, & wellness",food,drink
AAPL,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Custom Work Station,custom work station,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Gym / Wellness Reimbursement $360,gym / wellness reimbursement $360,"insurance, health, & wellness",office,gym3
AAPL,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
AAPL,"Insurance, Health, & Wellness",Sabbatical,sabbatical,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",On-Site Clinic,on-site clinic,"insurance, health, & wellness",other,
AAPL,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
AAPL,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
AAPL,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
AAPL,Home,On-Site Laundry,on-site laundry,home,other,
AAPL,Home,Immigration Assistance,immigration assistance,home,other,
AAPL,Home,Fertility Assistance,fertility assistance,home,office,child3
AAPL,Home,Company Phones,company phones,home,office,phone1
AAPL,Home,Business Travel Insurance,business travel insurance,home,insurance,business travel
AAPL,Home,On-Site Employee Mall,on-site employee mall,home,other,
AAPL,Home,Remote Work,remote work,home,other,
AAPL,Home,Military Leave,military leave,home,other,
AAPL,Home,Relocation Bonus,relocation bonus,home,other,
AAPL,Home,Adoption Assistance,adoption assistance,home,office,child3
AAPL,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
AAPL,Financial & Retirement,Mega Backdoor Roth,mega backdoor roth,financial & retirement,office,roth3
AAPL,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
AAPL,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
AAPL,Financial & Retirement,"401k $7,200","401k $7,200",financial & retirement,office,roth3
AAPL,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
AAPL,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
AAPL,Perks & Discounts,Employee Credit $250,employee credit $250,perks & discounts,other,
AAPL,Perks & Discounts,Learning and Development,learning and development,perks & discounts,office,tuition
AAPL,Transportation,Regional transit system,regional transit system,transportation,transportation,transit
AAPL,Transportation,Bikes on Campus,bikes on campus,transportation,transportation,bike
AAPL,Transportation,Company Shuttle,company shuttle,transportation,transportation,shuttle
AAPL,Transportation,Transport allowance,transport allowance,transportation,transportation,transport
AAPL,Other,Donation Match,donation match,other,other,
AAPL,Other,Volunteer Time Off,volunteer time off,other,other,
SBUX,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
SBUX,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
SBUX,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
SBUX,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
SBUX,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
SBUX,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
SBUX,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
SBUX,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym1
SBUX,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
SBUX,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
SBUX,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
SBUX,"Insurance, Health, & Wellness",Sabbatical,sabbatical,"insurance, health, & wellness",other,
SBUX,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
SBUX,Home,Adoption Assistance,adoption assistance,home,office,child3
SBUX,Home,Fertility Assistance,fertility assistance,home,office,child3
SBUX,Home,Immigration Assistance,immigration assistance,home,other,
SBUX,Home,Remote Work,remote work,home,other,
SBUX,Home,Military Leave,military leave,home,other,
SBUX,Financial & Retirement,"401k $6,000","401k $6,000",financial & retirement,office,roth3
SBUX,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
SBUX,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
SBUX,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
SBUX,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
SBUX,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
SBUX,Perks & Discounts,Learning and Development,learning and development,perks & discounts,office,tuition
SBUX,Transportation,Regional transit system,regional transit system,transportation,transportation,transit
SBUX,Transportation,Transport allowance,transport allowance,transportation,transportation,transport
SBUX,Other,Donation Match,donation match,other,other,
TRI,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
TRI,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
TRI,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",Gender Neutral Bathrooms,gender neutral bathrooms,"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",Gym Discount,gym discount,"insurance, health, & wellness",office,gym3
TRI,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
TRI,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
TRI,"Insurance, Health, & Wellness",On-Site Clinic,on-site clinic,"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",On-Site Mother's Room,on-site mother's room,"insurance, health, & wellness",office,child3
TRI,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
TRI,"Insurance, Health, & Wellness",Sabbatical,sabbatical,"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
TRI,"Insurance, Health, & Wellness",Custom Work Station,custom work station,"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness","Free Breakfast $2,600","free breakfast $2,600","insurance, health, & wellness",food,breakfast
TRI,"Insurance, Health, & Wellness",Free Drinks $365,free drinks $365,"insurance, health, & wellness",food,drink
TRI,"Insurance, Health, & Wellness",Gym / Wellness Reimbursement,gym / wellness reimbursement,"insurance, health, & wellness",office,gym3
TRI,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym3
TRI,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
TRI,"Insurance, Health, & Wellness",On-Site Fitness Classes,on-site fitness classes,"insurance, health, & wellness",office,gym3
TRI,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
TRI,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
TRI,Home,Adoption Assistance,adoption assistance,home,office,child3
TRI,Home,Business Travel Insurance,business travel insurance,home,insurance,business travel
TRI,Home,Immigration Assistance,immigration assistance,home,other,
TRI,Home,On-Site Car Wash / Detailing,on-site car wash / detailing,home,other,
TRI,Home,On-Site Laundry,on-site laundry,home,other,
TRI,Home,Phone Bill Reimbursement,phone bill reimbursement,home,office,phone2
TRI,Home,Bereavement Leave,bereavement leave,home,other,
TRI,Home,Company Phones,company phones,home,office,phone2
TRI,Home,Housing Stipend,housing stipend,home,other,
TRI,Home,Military Leave,military leave,home,other,
TRI,Home,On-Site Employee Mall,on-site employee mall,home,other,
TRI,Home,On-Site Tire Replacement,on-site tire replacement,home,other,
TRI,Home,Relocation Bonus,relocation bonus,home,other,
TRI,Home,Remote Work,remote work,home,other,
TRI,Home,Fertility Assistance,fertility assistance,home,office,child3
TRI,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
TRI,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
TRI,Financial & Retirement,Mega Backdoor Roth,mega backdoor roth,financial & retirement,office,roth3
TRI,Financial & Retirement,Student Loan Repayment Plan,student loan repayment plan,financial & retirement,other,
TRI,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
TRI,Financial & Retirement,"401k $6,000","401k $6,000",financial & retirement,office,roth3
TRI,Perks & Discounts,Employee Credit,employee credit,perks & discounts,other,
TRI,Perks & Discounts,Learning and Development,learning and development,perks & discounts,office,tuition
TRI,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
TRI,Other,Donation Match,donation match,other,other,
TRI,Other,Volunteer Time Off,volunteer time off,other,other,
INTC,Unique To Intel,An Extra Vacation Boost,an extra vacation boost,unique to intel,unique,
INTC,Unique To Intel,Free HDCP,free hdcp,unique to intel,unique,
INTC,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym3
INTC,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",On-Site Fitness Classes,on-site fitness classes,"insurance, health, & wellness",office,gym3
INTC,"Insurance, Health, & Wellness",On-Site Mother's Room,on-site mother's room,"insurance, health, & wellness",office,child3
INTC,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
