ticker,start_date,end_date,sentiment_score
AAPL,2022-01-01,2022-01-07,0.0
MSFT,2022-01-01,2022-01-07,0.0
GOOG,2022-01-01,2022-01-07,-0.26
AMZN,2022-01-01,2022-01-07,0.0
TSLA,2022-01-01,2022-01-07,0.0
META,2022-01-01,2022-01-07,0.0
NVDA,2022-01-01,2022-01-07,0.0
NFLX,2022-01-01,2022-01-07,0.0
PEP,2022-01-01,2022-01-07,0.0
ADBE,2022-01-01,2022-01-07,0.0
INTC,2022-01-01,2022-01-07,0.95
CSCO,2022-01-01,2022-01-07,0.34
CMCSA,2022-01-01,2022-01-07,0.0
AVGO,2022-01-01,2022-01-07,0.0
PYPL,2022-01-01,2022-01-07,0.0
TXN,2022-01-01,2022-01-07,0.0
COST,2022-01-01,2022-01-07,0.0
QCOM,2022-01-01,2022-01-07,0.0
AMGN,2022-01-01,2022-01-07,0.0
SBUX,2022-01-01,2022-01-07,0.34
AMD,2022-01-01,2022-01-07,-0.15
HON,2022-01-01,2022-01-07,0.0
GILD,2022-01-01,2022-01-07,-0.02
ISRG,2022-01-01,2022-01-07,0.0
BKNG,2022-01-01,2022-01-07,0.0
ADP,2022-01-01,2022-01-07,0.0
MDLZ,2022-01-01,2022-01-07,0.0
VRTX,2022-01-01,2022-01-07,0.0
REGN,2022-01-01,2022-01-07,0.0
LRCX,2022-01-01,2022-01-07,0.0
FISV,2022-01-01,2022-01-07,0.0
INTU,2022-01-01,2022-01-07,0.0
MRNA,2022-01-01,2022-01-07,0.0
MU,2022-01-01,2022-01-07,0.0
ZM,2022-01-01,2022-01-07,0.0
IDXX,2022-01-01,2022-01-07,0.0
ASML,2022-01-01,2022-01-07,0.0
ATVI,2022-01-01,2022-01-07,0.0
KHC,2022-01-01,2022-01-07,0.51
BIIB,2022-01-01,2022-01-07,0.0
MELI,2022-01-01,2022-01-07,0.0
DOCU,2022-01-01,2022-01-07,0.0
ADSK,2022-01-01,2022-01-07,0.0
EA,2022-01-01,2022-01-07,0.0
WDAY,2022-01-01,2022-01-07,0.0
SNPS,2022-01-01,2022-01-07,0.0
ILMN,2022-01-01,2022-01-07,0.44
ROST,2022-01-01,2022-01-07,0.0
CTAS,2022-01-01,2022-01-07,0.0
EBAY,2022-01-01,2022-01-07,0.0
KLAC,2022-01-01,2022-01-07,0.16
MNST,2022-01-01,2022-01-07,0.0
CDNS,2022-01-01,2022-01-07,0.0
CTSH,2022-01-01,2022-01-07,0.0
ORLY,2022-01-01,2022-01-07,0.0
DLTR,2022-01-01,2022-01-07,0.0
LULU,2022-01-01,2022-01-07,0.77
FAST,2022-01-01,2022-01-07,0.0
XEL,2022-01-01,2022-01-07,0.0
CTXS,2022-01-01,2022-01-07,0.25
NXPI,2022-01-01,2022-01-07,0.34
