Symbol,Company,City,Country,Employees,CompanyType,FoundingYear,Revenue(USD),Rating,CEOApprovalPercentage
AAPL,Apple Inc,Cupertino,United States,10000+ Employees,Public Company (AAPL),1976,$10+ billion,4.1,86% approve of CEO
ABNB,Airbnb Inc,San Francisco,United States,5001 to 10000 Employees,Public Company (ABNB),2008,Unknown / Non-Applicable,4.2,90% approve of CEO
ADBE,Adobe Inc.,San Jose,United States,10000+ Employees,Public Company (ADBE),1982,$5 to $10 billion,4.1,90% approve of CEO
ADI,Analog Devices Inc,Wilmington,United States,10000+ Employees,Public Company (ADI),1965,$5 to $10 billion,3.8,82% approve of CEO
ADP,Automatic Data Processing Inc,Roseland,United States,10000+ Employees,Public Company (ADP),1949,$10+ billion,3.8,83% approve of CEO
ADSK,Autodesk Inc,San Francisco,United States,10000+ Employees,Public Company (ADSK ),1982,$5 to $10 billion,4.1,84% approve of CEO
AEP,American Electric Power Company Inc,Columbus,United States,10000+ Employees,Public Company (AEP),1906,Unknown / Non-Applicable,3.0,28% approve of CEO
AMAT,Applied Materials Inc,Santa Clara,United States,10000+ Employees,Public Company (AMAT),1967,$10+ billion,4.0,84% approve of CEO
AMD,Advanced Micro Devices Inc,Santa Clara,United States,10000+ Employees,Public Company (AMD),1969,$10+ billion,3.9,94% approve of CEO
AMGN,Amgen Inc,Thousand Oaks,United States,10000+ Employees,Public Company (AMGN),1980,$10+ billion,3.9,84% approve of CEO
AMZN,Amazon.com Inc,Seattle,United States,10000+ Employees,Public Company (AMZN),1994,$10+ billion,3.6,58% approve of CEO
APP,Applovin Corp,Palo Alto,United States,1001 to 5000 Employees,Public Company (APP),2012,Unknown / Non-Applicable,3.7,60% approve of CEO
ARM,Arm Holdings PLC,Kent,United States,1 to 50 Employees,Private Company,0,Unknown / Non-Applicable,4.6,X% approve of CEO
ASML,ASML Holding NV,Veldhoven,Netherlands,10000+ Employees,Public Company (ASML),1984,$10+ billion,4.1,92% approve of CEO
AVGO,Broadcom Inc,Palo Alto,United States,10000+ Employees,Public Company (BRCM),1991,$10+ billion,3.3,55% approve of CEO
AXON,Axon Enterprise Inc,Scottsdale,United States,1001 to 5000 Employees,Public Company (AXON),1993,$500 million to $1 billion,4.0,92% approve of CEO
AZN,AstraZeneca PLC,Cambridge,United Kingdom,10000+ Employees,Public Company (AZN),1913,$10+ billion,4.0,87% approve of CEO
BIIB,Biogen Inc,Cambridge,United States,5001 to 10000 Employees,Public Company (BIIB),1978,$10+ billion,3.7,58% approve of CEO
BKNG,Booking Holdings Inc,Norwalk,United States,10000+ Employees,Public Company (BKNG),1997,$10+ billion,3.9,85% approve of CEO
BKR,Baker Hughes Co,Houston,United States,10000+ Employees,Public Company (BKR),1907,$10+ billion,3.9,82% approve of CEO
CCEP,Coca-Cola Europacific Partners PLC,Uxbridge,United Kingdom,10000+ Employees,Public Company,1929,Unknown / Non-Applicable,3.7,80% approve of CEO
CDNS,Cadence Design Systems Inc,San Jose,United States,10000+ Employees,Public Company (CDNS),1988,Unknown / Non-Applicable,4.2,86% approve of CEO
CDW,CDW Corp,Etobicoke,Canada,10000+ Employees,Public Company (CDW),1984,$10+ billion,3.6,69% approve of CEO
CEG,Constellation Energy Corp,Baltimore,United States,10000+ Employees,Public Company,1999,$10+ billion,4.0,87% approve of CEO
CHTR,Charter Communications Inc,Stamford,United States,10000+ Employees,Public Company,0,Unknown / Non-Applicable,3.3,X% approve of CEO
CMCSA,Comcast Corp,Philadelphia,United States,10000+ Employees,Public Company (CMCSA),1963,$10+ billion,3.8,76% approve of CEO
COST,Costco Wholesale Corp,Issaquah,United States,10000+ Employees,Public Company (COST),1976,$10+ billion,3.9,77% approve of CEO
CPRT,Copart Inc,Dallas,United States,5001 to 10000 Employees,Public Company (CPRT),1982,$2 to $5 billion,3.4,68% approve of CEO
CRWD,CrowdStrike Holdings Inc,Austin,United States,5001 to 10000 Employees,Public Company (CRWD),2011,$500 million to $1 billion,4.0,88% approve of CEO
CSCO,Cisco Systems Inc,San Jose,United States,10000+ Employees,Public Company (CSCO),1984,$10+ billion,4.1,80% approve of CEO
CSGP,CoStar Group Inc,Washington,United States,1001 to 5000 Employees,Public Company (CSGP),1987,$2 to $5 billion,2.6,32% approve of CEO
CSX,CSX Corp,Jacksonville,United States,10000+ Employees,Public Company (CSX),1978,Unknown / Non-Applicable,3.7,82% approve of CEO
CTAS,Cintas Corp,Cincinnati,United States,10000+ Employees,Public Company (CTAS),1968,$5 to $10 billion,3.7,80% approve of CEO
