company name,company ticker,company location,benefit category,benefit
apple,AAPL,United States,Unique To Apple,Music Events
apple,AAPL,United States,Unique To Apple,Fertility Assistance
apple,AAPL,United States,"Insurance, Health, & Wellness","Free Dinner $2,600"
apple,AAPL,United States,"Insurance, Health, & Wellness",Free Snacks $730
apple,AAPL,United States,"Insurance, Health, & Wellness",Life Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",Gym On-Site $300
apple,AAPL,United States,"Insurance, Health, & Wellness",Health Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",On-Site Fitness Classes
apple,AAPL,United States,"Insurance, Health, & Wellness",Gym Discount
apple,AAPL,United States,"Insurance, Health, & Wellness",Paternity Leave
apple,AAPL,United States,"Insurance, Health, & Wellness",Health Savings Account (HSA) $750
apple,AAPL,United States,"Insurance, Health, & Wellness",On-Site Mother's Room
apple,AAPL,United States,"Insurance, Health, & Wellness",Gender Neutral Bathrooms
apple,AAPL,United States,"Insurance, Health, & Wellness",Pet Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days)
apple,AAPL,United States,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",Free Drinks $365
apple,AAPL,United States,"Insurance, Health, & Wellness",Employee Assistance Program
apple,AAPL,United States,"Insurance, Health, & Wellness",Sick Time
apple,AAPL,United States,"Insurance, Health, & Wellness",Custom Work Station
apple,AAPL,United States,"Insurance, Health, & Wellness",Gym / Wellness Reimbursement $360
apple,AAPL,United States,"Insurance, Health, & Wellness",Maternity Leave
apple,AAPL,United States,"Insurance, Health, & Wellness",Sabbatical
apple,AAPL,United States,"Insurance, Health, & Wellness",On-Site Clinic
apple,AAPL,United States,"Insurance, Health, & Wellness",Dental Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",Vision Insurance
apple,AAPL,United States,"Insurance, Health, & Wellness",Disability Insurance
apple,AAPL,United States,Home,On-Site Laundry
apple,AAPL,United States,Home,Immigration Assistance
apple,AAPL,United States,Home,Fertility Assistance
apple,AAPL,United States,Home,Company Phones
apple,AAPL,United States,Home,Business Travel Insurance
apple,AAPL,United States,Home,On-Site Employee Mall
apple,AAPL,United States,Home,Remote Work
apple,AAPL,United States,Home,Military Leave
apple,AAPL,United States,Home,Relocation Bonus
apple,AAPL,United States,Home,Adoption Assistance
apple,AAPL,United States,Financial & Retirement,Roth 401k
apple,AAPL,United States,Financial & Retirement,Mega Backdoor Roth
apple,AAPL,United States,Financial & Retirement,Employee Stock Purchase Program (ESPP)
apple,AAPL,United States,Financial & Retirement,Flexible Spending Account (FSA)
apple,AAPL,United States,Financial & Retirement,"401k $7,200"
apple,AAPL,United States,Perks & Discounts,Employee Discount
apple,AAPL,United States,Perks & Discounts,Tuition Reimbursement
apple,AAPL,United States,Perks & Discounts,Employee Credit $250
apple,AAPL,United States,Perks & Discounts,Learning and Development
apple,AAPL,United States,Transportation,Regional transit system
apple,AAPL,United States,Transportation,Bikes on Campus
apple,AAPL,United States,Transportation,Company Shuttle
apple,AAPL,United States,Transportation,Transport allowance
apple,AAPL,United States,Other,Donation Match
apple,AAPL,United States,Other,Volunteer Time Off
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Dental Insurance
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Employee Assistance Program
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Health Insurance
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Life Insurance
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Paternity Leave
starbucks,SBUX,United States,"Insurance, Health, & Wellness",Disability Insurance
