company name,company ticker,company location,role name,role rank,role level,total pay (USD),base pay (USD),stock (USD),bonus (USD),upper bound (USD),lower bound (USD),years at company,years of experience
apple,AAPL,United States,software-engineer,1,"ICT2
Junior Software Engineer
(Entry Level)",173000,143400,26400,3100,,,,
apple,AAPL,United States,software-engineer,2,"ICT3
Software Engineer",229900,162100,55900,11900,,,,
apple,AAPL,United States,software-engineer,3,"ICT4
Senior Software Engineer",353500,208100,126000,19400,,,,
apple,AAPL,United States,software-engineer,4,ICT5,503100,250500,216200,36500,,,,
apple,AAPL,United States,software-engineer,5,ICT6,746300,298600,388400,59200,,,,
apple,AAPL,United States,software-engineer,6,Distinguished Engineer,,,,,,,,
apple,AAPL,United States,software-engineer,7,Senior Distinguished Engineer,,,,,,,,
apple,AAPL,United States,software-engineer,8,Engineering Fellow,,,,,,,,
apple,AAPL,United States,hardware-engineer,1,"ICT2
Junior Hardware Engineer",175300,143700,23000,8600,,,,
apple,AAPL,United States,hardware-engineer,2,"ICT3
Hardware Engineer",236400,166200,56800,13400,,,,
apple,AAPL,United States,hardware-engineer,3,"ICT4
Senior Hardware Engineer",322400,200400,101000,21100,,,,
apple,AAPL,United States,hardware-engineer,4,ICT5,504100,242300,215700,46100,,,,
apple,AAPL,United States,hardware-engineer,5,ICT6,730500,302700,354100,73700,,,,
apple,AAPL,United States,hardware-engineer,6,Distinguished Engineer,,,,,,,,
apple,AAPL,United States,project-manager,1,"ICT2
Junior Project Manager",140500,110000,18300,12200,,,,
apple,AAPL,United States,project-manager,2,"ICT3
Project Manager",198400,146800,43400,8200,,,,
apple,AAPL,United States,project-manager,3,"ICT4
Senior Project Manager",229600,162900,52900,13800,,,,
apple,AAPL,United States,project-manager,4,ICT5,351400,206200,117000,28100,,,,
apple,AAPL,United States,project-manager,5,ICT6,222500,187500,18800,16300,,,,
apple,AAPL,United States,product-manager,1,"ICT2
Junior Product Manager",188800,139300,40500,8900,,,,
apple,AAPL,United States,product-manager,2,"ICT3
Product Manager",210200,149900,47400,12900,,,,
apple,AAPL,United States,product-manager,3,"ICT4
Senior Product Manager",295900,195200,79900,20900,,,,
apple,AAPL,United States,product-manager,4,ICT5,449200,238700,169700,40800,,,,
apple,AAPL,United States,product-manager,5,ICT6,722000,270700,380400,70900,,,,
apple,AAPL,United States,product-manager,6,ICT7,,,,,,,,
apple,AAPL,United States,technical-program-manager,1,"ICT2
Junior TPM",226000,153700,51800,20500,,,,
apple,AAPL,United States,technical-program-manager,2,"ICT3
TPM",222600,159400,47400,15800,,,,
apple,AAPL,United States,technical-program-manager,3,"ICT4
Senior TPM",299900,192200,88200,19500,,,,
apple,AAPL,United States,technical-program-manager,4,ICT5,417300,232500,143600,41300,,,,
apple,AAPL,United States,technical-program-manager,5,ICT6,600000,287800,258000,54200,,,,
apple,AAPL,United States,data-scientist,1,"ICT2
Junior Data Scientist",122000,113300,8200,417,,,,
apple,AAPL,United States,data-scientist,2,"ICT3
Data Scientist",224500,167700,42500,14200,,,,
apple,AAPL,United States,data-scientist,3,"ICT4
Senior Data Scientist",319000,200900,97600,20500,,,,
apple,AAPL,United States,data-scientist,4,ICT5,495000,269500,200200,25300,,,,
apple,AAPL,United States,data-scientist,5,ICT6,,,,,,,,
apple,AAPL,United States,data-scientist,6,ICT7,,,,,,,,
apple,AAPL,United States,marketing,1,ICT2,296000,164300,100000,31700,,,,
apple,AAPL,United States,marketing,2,ICT3,199500,136700,54100,8700,,,,
apple,AAPL,United States,marketing,3,ICT4,233000,172100,50100,10800,,,,
apple,AAPL,United States,marketing,4,ICT5,290700,211200,56400,23100,,,,
apple,AAPL,United States,marketing,5,ICT6,,,,,,,,
apple,AAPL,United States,mechanical-engineer,1,"ICT2
Junior Mechanical Engineer",176100,138500,27600,10000,,,,
apple,AAPL,United States,mechanical-engineer,2,"ICT3
Mechanical Engineer",212700,159100,42500,11100,,,,
apple,AAPL,United States,mechanical-engineer,3,"ICT4
Senior Mechanical Engineer",334000,190700,121000,22400,,,,
apple,AAPL,United States,mechanical-engineer,4,ICT5,443900,232200,175500,36200,,,,
apple,AAPL,United States,mechanical-engineer,5,ICT6,577000,272000,235000,70000,,,,
apple,AAPL,United States,mechanical-engineer,6,Distinguished Engineer,,,,,,,,
apple,AAPL,United States,software-engineering-manager,1,"M1
Manager 1",396300,223600,143600,29100,,,,
apple,AAPL,United States,software-engineering-manager,2,"M2
Manager 2",530000,261000,220600,48400,,,,
apple,AAPL,United States,software-engineering-manager,3,"M3
Senior Manager",787100,310600,403800,72800,,,,
apple,AAPL,United States,software-engineering-manager,4,"D1
Director",1420000,353600,901000,163000,,,,
apple,AAPL,United States,software-engineering-manager,5,"D2
Senior Director",,,,,,,,
apple,AAPL,United States,software-engineering-manager,6,VP,,,,,,,,
apple,AAPL,United States,software-engineering-manager,7,SVP,,,,,,,,
apple,AAPL,United States,product-designer,1,"ICT2
Junior Product Designer",157200,142700,10600,3900,,,,
apple,AAPL,United States,product-designer,2,"ICT3
Product Designer",231400,162000,59100,10300,,,,
apple,AAPL,United States,product-designer,3,"ICT4
Senior Product Designer",302300,193600,87300,21500,,,,
apple,AAPL,United States,product-designer,4,ICT5,468200,236200,178100,53900,,,,
apple,AAPL,United States,product-designer,5,ICT6,909000,291500,532500,85000,,,,
paccar,PCAR,United States,software-engineer,,25,102000,102000,0,0,,,1 Year,5 Years
paccar,PCAR,United States,hardware-engineer,,25,110000,110000,0,0,,,1 Year,6 Years
paccar,PCAR,United States,controls-engineer,,,101500,,,,111000,92000,,
paccar,PCAR,United States,project-manager,,L3,145000,141000,0,4000,,,10 Years,13 Years
paccar,PCAR,United States,data-analyst,,,71650,,,,76300,67000,,
paccar,PCAR,United States,data-scientist,,-,115000,115000,0,0,,,0 Years,1 Year
paccar,PCAR,United States,accountant,,31,110000,110000,0,0,,,5-10 Years,5-10 Years
paccar,PCAR,United States,business-analyst,,-,115000,115000,0,0,,,1 Year,5 Years
paccar,PCAR,United States,mechanical-engineer,,23,97300,85000,4300,8000,,,0 Years,0 Years
paccar,PCAR,United States,administrative-assistant,,,58250,,,,62600,53900,,
starbucks,SBUX,United States,software-engineer,1,"24
Software Engineer 1
(Entry Level)",119500,113200,3300,2900,,,,
starbucks,SBUX,United States,software-engineer,2,"25
Software Engineer 2",161700,139900,13500,8300,,,,
starbucks,SBUX,United States,software-engineer,3,"26
Senior Software Engineer",175400,154200,12200,8900,,,,
starbucks,SBUX,United States,software-engineer,4,"27
Lead Software Engineer",200500,172100,14600,13800,,,,
starbucks,SBUX,United States,software-engineer,5,"28
Principal Software Engineer",237100,200900,20400,15800,,,,
starbucks,SBUX,United States,data-science-manager,1,24,,,,,,,,
starbucks,SBUX,United States,data-science-manager,2,25,,,,,,,,
starbucks,SBUX,United States,data-science-manager,3,26,,,,,,,,
starbucks,SBUX,United States,data-science-manager,4,27,,,,,,,,
starbucks,SBUX,United States,data-science-manager,5,28,244000,211000,12000,21000,,,,
starbucks,SBUX,United States,project-manager,1,24,,,,,,,,
starbucks,SBUX,United States,project-manager,2,25,148600,134200,6800,7600,,,,
starbucks,SBUX,United States,project-manager,3,26,,,,,,,,
starbucks,SBUX,United States,project-manager,4,27,164300,152700,3300,8300,,,,
starbucks,SBUX,United States,project-manager,5,28,,,,,,,,
starbucks,SBUX,United States,customer-service,1,24,33600,33600,0,0,,,,
starbucks,SBUX,United States,customer-service,2,25,,,,,,,,
starbucks,SBUX,United States,customer-service,3,26,,,,,,,,
starbucks,SBUX,United States,customer-service,4,27,,,,,,,,
starbucks,SBUX,United States,customer-service,5,28,,,,,,,,
starbucks,SBUX,United States,product-manager,1,24,138000,135000,0,3000,,,,
starbucks,SBUX,United States,product-manager,2,25,135000,126700,5000,3300,,,,
starbucks,SBUX,United States,product-manager,3,26,171500,145200,12000,14300,,,,
starbucks,SBUX,United States,product-manager,4,27,192200,165000,14200,13000,,,,
starbucks,SBUX,United States,product-manager,5,28,,,,,,,,
starbucks,SBUX,United States,human-resources,1,24,,,,,,,,
starbucks,SBUX,United States,human-resources,2,25,,,,,,,,
starbucks,SBUX,United States,human-resources,3,26,188000,160300,12000,15800,,,,
starbucks,SBUX,United States,human-resources,4,27,,,,,,,,
starbucks,SBUX,United States,human-resources,5,28,,,,,,,,
starbucks,SBUX,United States,data-scientist,1,"24
Data Scientist 1",122300,116700,2800,2800,,,,
starbucks,SBUX,United States,data-scientist,2,"25
Data Scientist 2",151800,133400,6600,11800,,,,
starbucks,SBUX,United States,data-scientist,3,"26
Senior Data Scientist",187200,160300,9300,17500,,,,
starbucks,SBUX,United States,data-scientist,4,"27
Lead Data Scientist",186300,158800,11700,15800,,,,
starbucks,SBUX,United States,data-scientist,5,"28
Principal Data Scientist",214000,182500,13000,18500,,,,
starbucks,SBUX,United States,business-analyst,1,"24
Business Analyst 1",123700,116700,3000,4000,,,,
starbucks,SBUX,United States,business-analyst,2,"25
Business Analyst 2",147800,126000,9300,12400,,,,
starbucks,SBUX,United States,business-analyst,3,"26
Senior Business Analyst",130900,120000,1300,9700,,,,
starbucks,SBUX,United States,business-analyst,4,"27
Lead Business Analyst",,,,,,,,
starbucks,SBUX,United States,business-analyst,5,"28
Principal Business Analyst",,,,,,,,
