Ticker,Company,City,State,Address,Market Cap,Total Revenue,Net Profit (TTM),Dividend Yield,Dividend Rate,Full-Time Employees,Sector,Industry,Trailing PE,Forward PE,Beta
NVDA,NVIDIA Corporation,Santa Clara,CA,2788 San Tomas Expressway,4552645935104,165217992704,86597001216,0.02,0.04,36000,Technology,Semiconductors,53.425716,45.385925,2.123
MSFT,Microsoft Corporation,Redmond,WA,One Microsoft Way,3825293328384,281723994112,101831999488,0.7,3.64,228000,Technology,Software - Infrastructure,37.756786,34.423077,1.023
AAPL,Apple Inc.,Cupertino,CA,One Apple Park Way,3650735833088,408624988160,99280003072,0.41,1.04,150000,Technology,Consumer Electronics,37.386017,29.602886,1.094
AMZN,"Amazon.com, Inc.",Seattle,WA,410 Terry Avenue North,2327190437888,670038032384,70623002624,0.0,0.0,1546000,Consumer Cyclical,Internet Retail,33.26372,35.4813,1.281
META,"Meta Platforms, Inc.",Menlo Park,CA,1 Meta Way,1786760658944,178803998720,71507001344,0.29,2.1,75945,Communication Services,Internet Content & Information,25.788614,28.11265,1.203
AVGO,Broadcom Inc.,Palo Alto,CA,3421 Hillview Ave,1551532949504,59925999616,18812999680,0.68,2.36,37000,Technology,Semiconductors,84.24358,53.24959,1.208
GOOGL,Alphabet Inc.,Mountain View,CA,1600 Amphitheatre Parkway,2885037850624,371399000064,115572998144,0.35,0.84,187103,Communication Services,Internet Content & Information,25.426895,26.590403,1.0
GOOG,Alphabet Inc.,Mountain View,CA,1600 Amphitheatre Parkway,2888620834816,371399000064,115572998144,0.35,0.84,187103,Communication Services,Internet Content & Information,25.53015,26.728212,1.0
TSLA,"Tesla, Inc.",Austin,TX,1 Tesla Road,1386205544448,92719996928,5879000064,0.0,0.0,125665,Consumer Cyclical,Auto Manufacturers,245.22647,128.66821,2.086
NFLX,"Netflix, Inc.",Los Gatos,CA,121 Albright Way,520411512832,41693184000,10247879680,0.0,0.0,14000,Communication Services,Entertainment,52.09315,51.50168,1.593
PLTR,Palantir Technologies Inc.,Denver,CO,1200 17th Street,421119262720,3440587008,763292032,0.0,0.0,4164,Technology,Software - Infrastructure,591.7066,377.6851,2.595
