ticker,start_date,end_date,sentiment_score
AAPL,2024-01-01,2024-01-07,0.6757
MSFT,2024-01-01,2024-01-07,0.5015
GOOG,2024-01-01,2024-01-07,-0.6114
AMZN,2024-01-01,2024-01-07,
TSLA,2024-01-01,2024-01-07,0.18972499999999998
META,2024-01-01,2024-01-07,
NVDA,2024-01-01,2024-01-07,0.376938
NFLX,2024-01-01,2024-01-07,
PEP,2024-01-01,2024-01-07,
ADBE,2024-01-01,2024-01-07,
INTC,2024-01-01,2024-01-07,
CSCO,2024-01-01,2024-01-07,
CMCSA,2024-01-01,2024-01-07,
AVGO,2024-01-01,2024-01-07,-0.1189
PYPL,2024-01-01,2024-01-07,0.01855
TXN,2024-01-01,2024-01-07,
COST,2024-01-01,2024-01-07,
QCOM,2024-01-01,2024-01-07,
AMGN,2024-01-01,2024-01-07,0.17785
SBUX,2024-01-01,2024-01-07,0.5930625
AMD,2024-01-01,2024-01-07,0.006416999999999992
HON,2024-01-01,2024-01-07,0.113333
GILD,2024-01-01,2024-01-07,
ISRG,2024-01-01,2024-01-07,
BKNG,2024-01-01,2024-01-07,
ADP,2024-01-01,2024-01-07,0.169413
MDLZ,2024-01-01,2024-01-07,
VRTX,2024-01-01,2024-01-07,
REGN,2024-01-01,2024-01-07,
LRCX,2024-01-01,2024-01-07,
FISV,2024-01-01,2024-01-07,
INTU,2024-01-01,2024-01-07,0.2263
MRNA,2024-01-01,2024-01-07,0.7553
MU,2024-01-01,2024-01-07,
ZM,2024-01-01,2024-01-07,
IDXX,2024-01-01,2024-01-07,
ASML,2024-01-01,2024-01-07,0.1186
ATVI,2024-01-01,2024-01-07,0.23835
KHC,2024-01-01,2024-01-07,
BIIB,2024-01-01,2024-01-07,0.2617
MELI,2024-01-01,2024-01-07,0.5177
DOCU,2024-01-01,2024-01-07,0.5909
ADSK,2024-01-01,2024-01-07,
EA,2024-01-01,2024-01-07,
WDAY,2024-01-01,2024-01-07,0.39540333333333333
SNPS,2024-01-01,2024-01-07,
ILMN,2024-01-01,2024-01-07,0.183975
ROST,2024-01-01,2024-01-07,
CTAS,2024-01-01,2024-01-07,
EBAY,2024-01-01,2024-01-07,
KLAC,2024-01-01,2024-01-07,
MNST,2024-01-01,2024-01-07,
CDNS,2024-01-01,2024-01-07,0.10115
CTSH,2024-01-01,2024-01-07,
ORLY,2024-01-01,2024-01-07,
DLTR,2024-01-01,2024-01-07,
LULU,2024-01-01,2024-01-07,0.4254
FAST,2024-01-01,2024-01-07,
XEL,2024-01-01,2024-01-07,0.29295
CTXS,2024-01-01,2024-01-07,
NXPI,2024-01-01,2024-01-07,
PCAR,2024-01-01,2024-01-07,
SIRI,2024-01-01,2024-01-07,
MAR,2024-01-01,2024-01-07,-0.064
SGEN,2024-01-01,2024-01-07,0.7684
EXC,2024-01-01,2024-01-07,
ODFL,2024-01-01,2024-01-07,0.5319
PAYX,2024-01-01,2024-01-07,
ALGN,2024-01-01,2024-01-07,0.1103
SWKS,2024-01-01,2024-01-07,
TEAM,2024-01-01,2024-01-07,
WBA,2024-01-01,2024-01-07,0.4686333333333334
ADI,2024-01-01,2024-01-07,
VRSK,2024-01-01,2024-01-07,
CDW,2024-01-01,2024-01-07,
BIDU,2024-01-01,2024-01-07,0.359917
CHTR,2024-01-01,2024-01-07,
VRSN,2024-01-01,2024-01-07,
INCY,2024-01-01,2024-01-07,
WDAY,2024-01-01,2024-01-07,0.39540333333333333
ANSS,2024-01-01,2024-01-07,
CPRT,2024-01-01,2024-01-07,0.442
UAL,2024-01-01,2024-01-07,0.10115
TTWO,2024-01-01,2024-01-07,
REG,2024-01-01,2024-01-07,
HPE,2024-01-01,2024-01-07,0.5017
EXPE,2024-01-01,2024-01-07,
MCHP,2024-01-01,2024-01-07,
VRSN,2024-01-01,2024-01-07,
XLNX,2024-01-01,2024-01-07,0.1779
BKNG,2024-01-01,2024-01-07,
MXIM,2024-01-01,2024-01-07,
PAYC,2024-01-01,2024-01-07,0.12280566666666666
CTAS,2024-01-01,2024-01-07,
TECH,2024-01-01,2024-01-07,
WDAY,2024-01-01,2024-01-07,0.39540333333333333
AAPL,2024-01-08,2024-01-14,
MSFT,2024-01-08,2024-01-14,0.012711
GOOG,2024-01-08,2024-01-14,0.6908
AMZN,2024-01-08,2024-01-14,
TSLA,2024-01-08,2024-01-14,0.5231125
META,2024-01-08,2024-01-14,
NVDA,2024-01-08,2024-01-14,0.17559666666666665
NFLX,2024-01-08,2024-01-14,
PEP,2024-01-08,2024-01-14,
ADBE,2024-01-08,2024-01-14,
INTC,2024-01-08,2024-01-14,
CSCO,2024-01-08,2024-01-14,0.0
CMCSA,2024-01-08,2024-01-14,
AVGO,2024-01-08,2024-01-14,0.48550000000000004
PYPL,2024-01-08,2024-01-14,
TXN,2024-01-08,2024-01-14,
COST,2024-01-08,2024-01-14,-0.093733
QCOM,2024-01-08,2024-01-14,0.8176
AMGN,2024-01-08,2024-01-14,
SBUX,2024-01-08,2024-01-14,0.30365
AMD,2024-01-08,2024-01-14,0.427778
HON,2024-01-08,2024-01-14,
GILD,2024-01-08,2024-01-14,
ISRG,2024-01-08,2024-01-14,
BKNG,2024-01-08,2024-01-14,
ADP,2024-01-08,2024-01-14,
MDLZ,2024-01-08,2024-01-14,0.490767
VRTX,2024-01-08,2024-01-14,
REGN,2024-01-08,2024-01-14,
LRCX,2024-01-08,2024-01-14,
FISV,2024-01-08,2024-01-14,
INTU,2024-01-08,2024-01-14,0.0
MRNA,2024-01-08,2024-01-14,
MU,2024-01-08,2024-01-14,0.3548
ZM,2024-01-08,2024-01-14,
IDXX,2024-01-08,2024-01-14,
ASML,2024-01-08,2024-01-14,
ATVI,2024-01-08,2024-01-14,
KHC,2024-01-08,2024-01-14,0.5710416666666667
BIIB,2024-01-08,2024-01-14,
MELI,2024-01-08,2024-01-14,-0.030066500000000003
DOCU,2024-01-08,2024-01-14,0.68848
ADSK,2024-01-08,2024-01-14,
EA,2024-01-08,2024-01-14,
WDAY,2024-01-08,2024-01-14,0.6652665
SNPS,2024-01-08,2024-01-14,0.0
ILMN,2024-01-08,2024-01-14,
ROST,2024-01-08,2024-01-14,
CTAS,2024-01-08,2024-01-14,0.75295
EBAY,2024-01-08,2024-01-14,0.330025
KLAC,2024-01-08,2024-01-14,
MNST,2024-01-08,2024-01-14,0.3572835
CDNS,2024-01-08,2024-01-14,0.0
CTSH,2024-01-08,2024-01-14,
ORLY,2024-01-08,2024-01-14,
DLTR,2024-01-08,2024-01-14,
LULU,2024-01-08,2024-01-14,0.5303
FAST,2024-01-08,2024-01-14,0.26335
XEL,2024-01-08,2024-01-14,
CTXS,2024-01-08,2024-01-14,
NXPI,2024-01-08,2024-01-14,
PCAR,2024-01-08,2024-01-14,0.396511
SIRI,2024-01-08,2024-01-14,
MAR,2024-01-08,2024-01-14,
SGEN,2024-01-08,2024-01-14,
EXC,2024-01-08,2024-01-14,0.6401
ODFL,2024-01-08,2024-01-14,
PAYX,2024-01-08,2024-01-14,0.5113165
ALGN,2024-01-08,2024-01-14,
SWKS,2024-01-08,2024-01-14,
TEAM,2024-01-08,2024-01-14,
WBA,2024-01-08,2024-01-14,0.1224
ADI,2024-01-08,2024-01-14,0.2086
VRSK,2024-01-08,2024-01-14,
CDW,2024-01-08,2024-01-14,
BIDU,2024-01-08,2024-01-14,
CHTR,2024-01-08,2024-01-14,
VRSN,2024-01-08,2024-01-14,
INCY,2024-01-08,2024-01-14,0.4581
WDAY,2024-01-08,2024-01-14,0.6652665
ANSS,2024-01-08,2024-01-14,
CPRT,2024-01-08,2024-01-14,0.291667
UAL,2024-01-08,2024-01-14,-0.13645
TTWO,2024-01-08,2024-01-14,
REG,2024-01-08,2024-01-14,
HPE,2024-01-08,2024-01-14,
EXPE,2024-01-08,2024-01-14,
MCHP,2024-01-08,2024-01-14,0.5412666666666667
VRSN,2024-01-08,2024-01-14,
XLNX,2024-01-08,2024-01-14,
BKNG,2024-01-08,2024-01-14,
MXIM,2024-01-08,2024-01-14,
PAYC,2024-01-08,2024-01-14,0.485
CTAS,2024-01-08,2024-01-14,0.75295
TECH,2024-01-08,2024-01-14,
WDAY,2024-01-08,2024-01-14,0.6652665
AAPL,2024-01-15,2024-01-21,0.754975
MSFT,2024-01-15,2024-01-21,0.6544055
GOOG,2024-01-15,2024-01-21,0.296
AMZN,2024-01-15,2024-01-21,0.3393165
TSLA,2024-01-15,2024-01-21,0.66498
META,2024-01-15,2024-01-21,0.62582
NVDA,2024-01-15,2024-01-21,0.6216335
NFLX,2024-01-15,2024-01-21,
PEP,2024-01-15,2024-01-21,
ADBE,2024-01-15,2024-01-21,
INTC,2024-01-15,2024-01-21,
CSCO,2024-01-15,2024-01-21,0.7096
CMCSA,2024-01-15,2024-01-21,
AVGO,2024-01-15,2024-01-21,0.197143
PYPL,2024-01-15,2024-01-21,
TXN,2024-01-15,2024-01-21,0.02345
COST,2024-01-15,2024-01-21,0.58105
QCOM,2024-01-15,2024-01-21,
AMGN,2024-01-15,2024-01-21,-0.04516
SBUX,2024-01-15,2024-01-21,
AMD,2024-01-15,2024-01-21,0.13695000000000002
HON,2024-01-15,2024-01-21,
GILD,2024-01-15,2024-01-21,
ISRG,2024-01-15,2024-01-21,0.02345
BKNG,2024-01-15,2024-01-21,-0.2732
ADP,2024-01-15,2024-01-21,
MDLZ,2024-01-15,2024-01-21,
VRTX,2024-01-15,2024-01-21,
REGN,2024-01-15,2024-01-21,
LRCX,2024-01-15,2024-01-21,0.5835375
FISV,2024-01-15,2024-01-21,
INTU,2024-01-15,2024-01-21,0.6771
MRNA,2024-01-15,2024-01-21,
MU,2024-01-15,2024-01-21,
