Ticker,Market Cap,Total Revenue,Net Profit TTM,Dividend Yield,Dividend Rate,Trailing PE,Forward PE
NVDA,4552645935104,165217992704,86597001216,0.02,0.04,53.425716,45.385925
MSFT,3825293328384,281723994112,101831999488,0.7,3.64,37.756786,34.423077
AAPL,3650735833088,408624988160,99280003072,0.41,1.04,37.386017,29.602886
AMZN,2327190437888,670038032384,70623002624,0.0,0.0,33.26372,35.4813
META,1786760658944,178803998720,71507001344,0.29,2.1,25.788614,28.11265
AVGO,1551532949504,59925999616,18812999680,0.68,2.36,84.24358,53.24959
GOOGL,2885037850624,371399000064,115572998144,0.35,0.84,25.426895,26.590403
GOOG,2888620834816,371399000064,115572998144,0.35,0.84,25.53015,26.728212
TSLA,1386205544448,92719996928,5879000064,0.0,0.0,245.22647,128.66821
NFLX,520411512832,41693184000,10247879680,0.0,0.0,52.09315,51.50168
PLTR,421119262720,3440587008,763292032,0.0,0.0,591.7066,377.6851
COST,413652353024,275235012608,8098999808,0.55,5.2,51.28434,47.42759
ASML,371287916544,32163299328,9415199744,0.75,7.39,33.699356,35.390636
AMD,355175563264,29600000000,2729999872,0.0,0.0,130.27382,42.913727
CSCO,269351092224,56654000128,10179999744,2.34,1.64,26.719608,17.470512
AZN,264189526016,56500998144,8295000064,1.84,1.57,31.822641,15.360657
TMUS,257062567936,84052000768,12215000064,1.8,4.08,21.568932,21.407215
LIN,214425305088,33244999680,6713999872,1.31,6.0,32.500713,26.978464
APP,195413737472,5737590784,2513516032,0.0,0.0,79.57575,111.961235
SHOP,198970228736,10014000128,2344999936,0.0,0.0,84.61451,82.32762
MU,205512310784,37377998848,8538999808,0.24,0.46,24.09079,14.226107
PEP,204731842560,91747999744,7550000128,3.93,5.69,28.519999,17.349941
PDD,175198568448,409621528576,97922613248,0.0,0.0,13.284177,8.758695
INTU,180183302144,18830999552,3868999936,0.67,4.32,47.27652,29.071976
QCOM,167849246720,43256999936,11573000192,2.15,3.56,15.029951,12.7195425
LRCX,166941753344,18435590144,5358217216,0.74,1.04,31.899998,31.003511
INTC,176710664192,53070000128,-20504000512,0.0,0.0,,38.29464
BKNG,167642726400,25024999424,4813000192,0.74,38.4,36.09616,24.64894
ARM,163619209216,4120999936,699000000,0.0,0.0,230.54477,74.98301
AMAT,169708732416,28612999168,6832000000,0.84,1.84,25.451612,21.984522
TXN,157144367104,16675000320,5015000064,3.17,5.68,31.541971,29.39626
AMGN,156124938240,34916999168,6618999808,3.22,9.52,23.712185,14.029995
ISRG,155202404352,9144999936,2607600128,0.0,0.0,60.21558,55.0827
ADBE,141530759168,23181000704,6957000192,0.0,0.0,21.065733,16.452799
GILD,145298489344,28863000576,6311000064,2.71,3.16,23.234127,15.760431
PANW,141960134656,9221499904,1133900032,0.0,0.0,131.90565,29.129168
KLAC,130363080704,12156162048,4061643008,0.72,7.6,32.62904,30.16347
HON,127782584320,39990001664,5717000192,2.24,4.58,22.923143,18.280218
CRWD,124614279168,4341102080,-296985984,0.0,0.0,,116.2904
ADP,116041932800,20560900096,4079699968,2.15,6.16,28.703407,26.353266
DASH,115158908928,11895000064,781000000,0.0,0.0,148.11539,151.44383
ADI,111890341888,10386794496,1957676032,1.66,3.96,57.872772,30.164457
CMCSA,108920094720,124184002560,22904999936,4.39,1.32,4.892205,6.73516
CEG,116692852736,24820000768,3008999936,0.4,1.55,38.990604,41.735195
MELI,108120260608,24096000000,2052999936,0.0,0.0,52.658268,44.081436
VRTX,104245878784,11418800128,3637600000,0.0,0.0,28.918207,21.661694
CDNS,89300418560,5089287168,1011950976,0.0,0.0,88.572975,47.842335
MSTR,88420859904,462321984,4734145024,0.0,0.0,21.61193,-716.2093
SBUX,89816350720,36689301504,2632399872,3.11,2.48,34.205627,21.240591
SNPS,82316361728,6435303936,1166705024,0.0,0.0,59.805656,29.80228
ORLY,86805454848,17122020352,2423674112,0.0,0.0,36.66846,2.2764797
MDLZ,79901130752,37105000448,3640999936,3.28,2.0,22.619047,18.002914
CTAS,76155748352,10556716032,1845040000,0.94,1.8,42.018845,40.492523
MRVL,75196669952,7234899968,-103400000,0.26,0.24,,34.89
ABNB,72412168192,11580000256,2624999936,0.0,0.0,28.707525,26.283333
MAR,71086661632,6783000064,2467000064,1.01,2.68,29.456692,24.704716
PYPL,67793559552,32291999744,4679000064,0.0,0.0,15.1948395,14.511228
TRI,68614336512,7318000128,1602000000,1.59,2.38,42.5618,37.691544
CSX,66256404480,14154999808,3102000128,1.44,0.52,21.803682,17.50739
ADSK,64694493184,6605000192,1043000000,0.0,0.0,63.145535,33.086056
MNST,67900813312,7659164160,1573416960,0.0,0.0,43.192547,37.187164
FTNT,64022372352,6337900032,1939600000,0.0,0.0,33.287292,34.668507
AEP,62731427840,20666699776,3649700096,3.18,3.72,17.199413,19.915112
WDAY,62606159872,8958999552,583000000,0.0,0.0,109.57008,28.2506
REGN,59356147712,14214200320,4458599936,0.62,3.52,14.117218,12.359965
AXON,55753854976,2391589888,326305984,0.0,0.0,175.79208,114.54839
NXPI,52465049600,12122000384,2148000000,1.83,4.06,24.803337,15.92196
ROP,54708715520,7468100096,1539600000,0.64,3.3,35.67579,25.393606
FAST,52739641344,7774400000,1189100032,1.88,0.88,44.187504,20.984018
DDOG,55297024000,3016056064,124580000,0.0,0.0,440.44443,78.108376
PCAR,48897630208,31099600896,3072999936,1.39,1.32,15.972556,12.0
IDXX,49471700992,4037714944,985656000,0.0,0.0,51.48709,51.70234
EA,49873641472,7473999872,1042000000,0.38,0.76,50.004875,23.448946
ROST,48136736768,21497755648,2062835968,1.08,1.62,23.493649,22.124065
XEL,48156876800,13957000192,2072999936,2.81,2.28,22.555403,21.259792
TTWO,46578728960,5799199744,-4228800000,0.0,0.0,,32.20663
BKR,44655390720,27608999936,3048000000,1.92,0.92,14.802287,17.624514
EXC,47698165760,23765999616,2654000128,3.43,1.6,17.956844,17.956844
ZS,49222057984,2673114880,-41478000,0.0,0.0,,87.3427
WBD,43301253120,38441000960,772000000,0.0,0.0,56.419353,-134.53847
PAYX,45328666624,5793200128,1613699968,3.45,4.32,28.23991,23.809072
FANG,40616345600,13409999872,3816999936,2.7,3.9,10.167028,9.583674
CPRT,42459222016,4646958080,1552449024,0.0,0.0,27.59434,25.215517
CCEP,40191660032,20884000768,1534000000,2.5,2.19,22.570694,19.296703
TEAM,38014898176,5215304192,-256687008,0.0,0.0,,35.257908
CHTR,35539611648,55222001664,5264000000,0.0,0.0,7.1245894,7.2719398
MCHP,33033793536,4235800064,-178400000,2.76,1.82,,23.542309
KDP,35013668864,15758999552,1536000000,3.56,0.92,22.809734,12.573171
VRSK,34247632896,2986500096,909299968,0.75,1.8,38.06289,33.62483
CSGP,32125407232,2915500032,104200000,0.0,0.0,291.65387,67.70536
GEHC,32331442176,19967000576,2240000000,0.19,0.14,14.5112705,15.163812
CTSH,32326928384,20486000640,2436000000,1.81,1.24,13.425964,13.26453
KHC,29743847424,25309999104,-5271000064,6.39,1.6,,8.185668
ODFL,28389513216,5638622208,1095010048,0.79,1.12,26.434443,22.894915
TTD,25601048576,2679088128,417193984,0.0,0.0,63.08434,27.129536
DXCM,25717542912,4300800000,571500032,0.0,0.0,46.1831,32.30542
BIIB,21245921280,9996999680,1530499968,0.0,0.0,13.880269,8.698079
LULU,19849453568,10904036352,1785750016,0.0,0.0,11.433061,11.210984
CDW,19090962432,21878300672,1076700032,1.65,2.5,18.117537,14.393774
ON,18980483072,6398799872,465800000,0.0,0.0,44.2,10.743055
GFS,18513854464,6841999872,-115000000,0.0,0.0,,18.636871
