ticker,start_date,end_date,sentiment_score
AAPL,2023-01-01,2023-01-07,0.12
MSFT,2023-01-01,2023-01-07,0
GOOG,2023-01-01,2023-01-07,0
AMZN,2023-01-01,2023-01-07,0
TSLA,2023-01-01,2023-01-07,0.1
META,2023-01-01,2023-01-07,0
NVDA,2023-01-01,2023-01-07,0
NFLX,2023-01-01,2023-01-07,0
PEP,2023-01-01,2023-01-07,0
ADBE,2023-01-01,2023-01-07,0
INTC,2023-01-01,2023-01-07,0
CSCO,2023-01-01,2023-01-07,0
CMCSA,2023-01-01,2023-01-07,0.08
AVGO,2023-01-01,2023-01-07,0.0
PYPL,2023-01-01,2023-01-07,0
TXN,2023-01-01,2023-01-07,0
COST,2023-01-01,2023-01-07,0
QCOM,2023-01-01,2023-01-07,0
AMGN,2023-01-01,2023-01-07,0
SBUX,2023-01-01,2023-01-07,0
AMD,2023-01-01,2023-01-07,0
HON,2023-01-01,2023-01-07,0.0
GILD,2023-01-01,2023-01-07,0
ISRG,2023-01-01,2023-01-07,0
BKNG,2023-01-01,2023-01-07,0.82
ADP,2023-01-01,2023-01-07,0
MDLZ,2023-01-01,2023-01-07,0
VRTX,2023-01-01,2023-01-07,0
REGN,2023-01-01,2023-01-07,0.83
LRCX,2023-01-01,2023-01-07,0
FISV,2023-01-01,2023-01-07,0
INTU,2023-01-01,2023-01-07,0
MRNA,2023-01-01,2023-01-07,0.43
MU,2023-01-01,2023-01-07,0
ZM,2023-01-01,2023-01-07,0
IDXX,2023-01-01,2023-01-07,0
ASML,2023-01-01,2023-01-07,0
ATVI,2023-01-01,2023-01-07,0
KHC,2023-01-01,2023-01-07,0
BIIB,2023-01-01,2023-01-07,0.3
MELI,2023-01-01,2023-01-07,0
DOCU,2023-01-01,2023-01-07,0
ADSK,2023-01-01,2023-01-07,0
EA,2023-01-01,2023-01-07,0
WDAY,2023-01-01,2023-01-07,-0.03
SNPS,2023-01-01,2023-01-07,0
ILMN,2023-01-01,2023-01-07,0
ROST,2023-01-01,2023-01-07,0.74
CTAS,2023-01-01,2023-01-07,0
EBAY,2023-01-01,2023-01-07,0
KLAC,2023-01-01,2023-01-07,0
MNST,2023-01-01,2023-01-07,0.38
CDNS,2023-01-01,2023-01-07,0.21
CTSH,2023-01-01,2023-01-07,0
ORLY,2023-01-01,2023-01-07,0.67
DLTR,2023-01-01,2023-01-07,0
LULU,2023-01-01,2023-01-07,0
FAST,2023-01-01,2023-01-07,0
XEL,2023-01-01,2023-01-07,0
CTXS,2023-01-01,2023-01-07,0
NXPI,2023-01-01,2023-01-07,0
PCAR,2023-01-01,2023-01-07,0
SIRI,2023-01-01,2023-01-07,0
MAR,2023-01-01,2023-01-07,0
SGEN,2023-01-01,2023-01-07,0
EXC,2023-01-01,2023-01-07,0
ODFL,2023-01-01,2023-01-07,-0.3
PAYX,2023-01-01,2023-01-07,0
ALGN,2023-01-01,2023-01-07,0.0
