ticker,start_date,end_date,sentiment_score
AAPL,2025-01-01,2025-01-07,0
MSFT,2025-01-01,2025-01-07,0
GOOG,2025-01-01,2025-01-07,0
AMZN,2025-01-01,2025-01-07,0
TSLA,2025-01-01,2025-01-07,0.43
META,2025-01-01,2025-01-07,0.82
NVDA,2025-01-01,2025-01-07,-0.12
NFLX,2025-01-01,2025-01-07,0
PEP,2025-01-01,2025-01-07,0
ADBE,2025-01-01,2025-01-07,0
INTC,2025-01-01,2025-01-07,0
CSCO,2025-01-01,2025-01-07,0
CMCSA,2025-01-01,2025-01-07,-0.16
AVGO,2025-01-01,2025-01-07,0
PYPL,2025-01-01,2025-01-07,0
TXN,2025-01-01,2025-01-07,0
COST,2025-01-01,2025-01-07,0
QCOM,2025-01-01,2025-01-07,0
AMGN,2025-01-01,2025-01-07,0.34
SBUX,2025-01-01,2025-01-07,0
AMD,2025-01-01,2025-01-07,0.64
HON,2025-01-01,2025-01-07,0
GILD,2025-01-01,2025-01-07,0
ISRG,2025-01-01,2025-01-07,0
BKNG,2025-01-01,2025-01-07,0
ADP,2025-01-01,2025-01-07,0
MDLZ,2025-01-01,2025-01-07,0
VRTX,2025-01-01,2025-01-07,0
REGN,2025-01-01,2025-01-07,0
LRCX,2025-01-01,2025-01-07,0
FISV,2025-01-01,2025-01-07,0
INTU,2025-01-01,2025-01-07,0
MRNA,2025-01-01,2025-01-07,0
MU,2025-01-01,2025-01-07,0.44
ZM,2025-01-01,2025-01-07,0
IDXX,2025-01-01,2025-01-07,0
ASML,2025-01-01,2025-01-07,0
ATVI,2025-01-01,2025-01-07,0
KHC,2025-01-01,2025-01-07,0
BIIB,2025-01-01,2025-01-07,0
MELI,2025-01-01,2025-01-07,0.0
DOCU,2025-01-01,2025-01-07,0
ADSK,2025-01-01,2025-01-07,0
EA,2025-01-01,2025-01-07,0
WDAY,2025-01-01,2025-01-07,-0.03
SNPS,2025-01-01,2025-01-07,0.0
ILMN,2025-01-01,2025-01-07,0
ROST,2025-01-01,2025-01-07,0
CTAS,2025-01-01,2025-01-07,0
EBAY,2025-01-01,2025-01-07,0
KLAC,2025-01-01,2025-01-07,0
MNST,2025-01-01,2025-01-07,0
CDNS,2025-01-01,2025-01-07,0.0
CTSH,2025-01-01,2025-01-07,0
ORLY,2025-01-01,2025-01-07,0
DLTR,2025-01-01,2025-01-07,0
LULU,2025-01-01,2025-01-07,0.32
FAST,2025-01-01,2025-01-07,0
XEL,2025-01-01,2025-01-07,0
CTXS,2025-01-01,2025-01-07,0
NXPI,2025-01-01,2025-01-07,0
PCAR,2025-01-01,2025-01-07,0
SIRI,2025-01-01,2025-01-07,0.11
MAR,2025-01-01,2025-01-07,0.72
SGEN,2025-01-01,2025-01-07,0
EXC,2025-01-01,2025-01-07,0
ODFL,2025-01-01,2025-01-07,0
PAYX,2025-01-01,2025-01-07,0
ALGN,2025-01-01,2025-01-07,0.11
SWKS,2025-01-01,2025-01-07,0
TEAM,2025-01-01,2025-01-07,0
WBA,2025-01-01,2025-01-07,0
ADI,2025-01-01,2025-01-07,0
VRSK,2025-01-01,2025-01-07,0
CDW,2025-01-01,2025-01-07,0
BIDU,2025-01-01,2025-01-07,0
CHTR,2025-01-01,2025-01-07,0.94
VRSN,2025-01-01,2025-01-07,0
INCY,2025-01-01,2025-01-07,0
WDAY,2025-01-01,2025-01-07,0.34
ANSS,2025-01-01,2025-01-07,0.66
CPRT,2025-01-01,2025-01-07,0
UAL,2025-01-01,2025-01-07,0
TTWO,2025-01-01,2025-01-07,0
REG,2025-01-01,2025-01-07,0.26
